id,position,title,place_id,data_id,data_cid,reviews_link,photos_link,gps_coordinates,place_id_search,provider_id,rating,reviews,price,type,types,type_id,type_ids,address,open_state,hours,operating_hours,phone,website,amenities,description,service_options,thumbnail,extensions,unsupported_extensions,serpapi_thumbnail,user_review
4921,9,"NGON - PHỞ, CƠM SƯỜN, CƠM GÀ",ChIJOUYApsKhQTERnVRlB6R0-jM,0x3141a1c2a6004639:0x33fa74a40765549d,3745434287959528605,https://serpapi.com/search.json?data_id=0x3141a1c2a6004639%3A0x33fa74a40765549d&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x3141a1c2a6004639%3A0x33fa74a40765549d&engine=google_maps_photos&hl=en,"{""latitude"": 16.469026799999998, ""longitude"": 107.5954338}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJOUYApsKhQTERnVRlB6R0-jM,/g/11wfm4r5ky,4.9,234,"₫1–100,000",Pho restaurant,"[""Pho restaurant"", ""Hamburger restaurant""]",pho_restaurant,"[""pho_restaurant"", ""hamburger_restaurant""]","31C Võ Thị Sáu, Phú Hội, Huế, Thành phố Huế 49000, Vietnam",Open · Closes 11 PM,Open · Closes 11 PM,"{""monday"": ""10\u202fAM\u201311\u202fPM"", ""tuesday"": ""10\u202fAM\u201311\u202fPM"", ""wednesday"": ""10\u202fAM\u201311\u202fPM"", ""thursday"": ""10\u202fAM\u201311\u202fPM"", ""friday"": ""10\u202fAM\u201311\u202fPM"", ""saturday"": ""10\u202fAM\u201311\u202fPM"", ""sunday"": ""10\u202fAM\u201311\u202fPM""}",+84 867 988 733,,null,,"{""dine_in"": true, ""drive_through"": true, ""no_contact_delivery"": true}",https://lh3.googleusercontent.com/p/AF1QipPbb1J5ksgr1MhiHd2kG-V9jtKXcd-uaLGGm7ei=w80-h106-k-no,"[{""service_options"": [""No-contact delivery"", ""Delivery"", ""Drive-through"", ""Takeout"", ""Dine-in""]}, {""popular_for"": [""Lunch"", ""Solo dining""]}, {""offerings"": [""Alcohol"", ""All you can eat"", ""Beer"", ""Cocktails"", ""Coffee"", ""Happy hour drinks"", ""Late-night food"", ""Organic dishes"", ""Quick bite"", ""Vegan options"", ""Vegetarian options"", ""Wine""]}, {""dining_options"": [""Breakfast"", ""Lunch"", ""Dinner"", ""Catering"", ""Counter service"", ""Seating"", ""Table service""]}, {""amenities"": [""Restroom"", ""Wi-Fi"", ""Free Wi-Fi""]}, {""atmosphere"": [""Casual""]}, {""crowd"": [""Groups"", ""Tourists""]}, {""payments"": [""Credit cards"", ""Debit cards""]}, {""children"": [""Good for kids""]}, {""parking"": [""Free parking lot"", ""Free street parking""]}]",null,https://serpapi.com/images/url/LKJ2wnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkJRk6GWaXZxeZOibkemRYpTtrhtmmVXiHZGcolua6OPunmuemmlbbmGgm2FoYKabrZuXDwCk6CEj,"""Friendly staff and food was delicious tasted very local!"""
4922,10,BURGER NGON HUE,ChIJhcRUK7ehQTER4tp6G4H6x-c,0x3141a1b72b54c485:0xe7c7fa811b7adae2,16701593175545535202,https://serpapi.com/search.json?data_id=0x3141a1b72b54c485%3A0xe7c7fa811b7adae2&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x3141a1b72b54c485%3A0xe7c7fa811b7adae2&engine=google_maps_photos&hl=en,"{""latitude"": 16.4689229, ""longitude"": 107.5959108}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJhcRUK7ehQTER4tp6G4H6x-c,/g/11kqcvty07,4.8,701,,Hamburger restaurant,"[""Hamburger restaurant"", ""Fast food restaurant""]",hamburger_restaurant,"[""hamburger_restaurant"", ""fast_food_restaurant""]","48 Chu Văn An, Phú Hội, Huế, Thành phố Huế 530000, Vietnam",Open · Closes 11 PM,Open · Closes 11 PM,"{""monday"": ""8\u202fAM\u201311\u202fPM"", ""tuesday"": ""8\u202fAM\u201311\u202fPM"", ""wednesday"": ""8\u202fAM\u201311\u202fPM"", ""thursday"": ""8\u202fAM\u201311\u202fPM"", ""friday"": ""8\u202fAM\u201311\u202fPM"", ""saturday"": ""8\u202fAM\u201311\u202fPM"", ""sunday"": ""8\u202fAM\u201311\u202fPM""}",+84 706 152 238,,null,,"{""dine_in"": true, ""drive_through"": true, ""no_contact_delivery"": true}",https://lh3.googleusercontent.com/p/AF1QipN5G9gk94PQGy-SgtV7Z3QukJt_TWGCMk_rzIYJ=w122-h92-k-no,"[{""from_the_business"": [""Identifies as women-owned""]}, {""service_options"": [""Outdoor seating"", ""No-contact delivery"", ""Delivery"", ""Drive-through"", ""Takeout"", ""Dine-in""]}, {""popular_for"": [""Lunch"", ""Dinner"", ""Solo dining""]}, {""offerings"": [""Alcohol"", ""Beer"", ""Cocktails"", ""Happy hour drinks"", ""Quick bite"", ""Small plates""]}, {""dining_options"": [""Breakfast"", ""Brunch"", ""Lunch"", ""Dinner"", ""Catering"", ""Dessert"", ""Seating"", ""Table service""]}, {""amenities"": [""Restroom""]}, {""atmosphere"": [""Casual"", ""Cozy""]}, {""crowd"": [""College students"", ""Family-friendly"", ""Groups"", ""LGBTQ+ friendly"", ""Tourists"", ""Transgender safespace""]}, {""planning"": [""Accepts reservations""]}, {""payments"": [""Credit cards"", ""Debit cards""]}, {""children"": [""Good for kids"", ""Kids' menu""]}, {""parking"": [""Free street parking""]}, {""pets"": [""Dogs allowed outside""]}]","[{""accessibility"": [""Assistive hearing loop"", ""Wheelchair accessible parking lot"", ""Wheelchair accessible seating""]}]",https://serpapi.com/images/url/Jf_vM3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ-pumZ5taRIQ6F6pG5xeEmYeZRxYmu1VEh8S7u7smx1fVOUZ6WVbbmhkpJthaaSbrZuXDwCXZiEB,"""🍔

Phenomenal burgers here, with great service and great cocktails."""
4923,19,Golden Rice Restaurant,ChIJDy2r2zyhQTERU9Zk1dvt0Fs,0x3141a13cdbab2d0f:0x5bd0eddbd564d653,6616049381041034835,https://serpapi.com/search.json?data_id=0x3141a13cdbab2d0f%3A0x5bd0eddbd564d653&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x3141a13cdbab2d0f%3A0x5bd0eddbd564d653&engine=google_maps_photos&hl=en,"{""latitude"": 16.4688508, ""longitude"": 107.5947549}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJDy2r2zyhQTERU9Zk1dvt0Fs,/g/1hc8wq79v,4.5,713,,Vietnamese restaurant,"[""Vietnamese restaurant"", ""Restaurant""]",vietnamese_restaurant,"[""vietnamese_restaurant"", ""restaurant""]","40 Phạm Ngũ Lão, Phú Hội, Huế, Thành phố Huế, Vietnam",Open · Closes 10 PM,Open · Closes 10 PM,"{""monday"": ""10\u202fAM\u201310\u202fPM"", ""tuesday"": ""10\u202fAM\u201310\u202fPM"", ""wednesday"": ""10\u202fAM\u201310\u202fPM"", ""thursday"": ""10\u202fAM\u201310\u202fPM"", ""friday"": ""10\u202fAM\u201310\u202fPM"", ""saturday"": ""10\u202fAM\u201310\u202fPM"", ""sunday"": ""10\u202fAM\u201310\u202fPM""}",+84 914 415 268,,null,,"{""dine_in"": true, ""takeout"": true}",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwfYzb0xjAKwpWtBw7VBnfsHYcExKRsQC-TtHwhJ5BAvxsXpo7hNZXzczEUH4lnrHQ8h5bBEVYiBRlN-H5riPMwn6tg9z8A2TUA3d5Hmg64GODUEoryhEbUkGopdXoMG0qZUg1SwfglOj7O=w80-h106-k-no,"[{""service_options"": [""Outdoor seating"", ""Takeout"", ""Dine-in""]}, {""highlights"": [""Great coffee"", ""Great dessert"", ""Great tea selection""]}, {""popular_for"": [""Lunch"", ""Dinner"", ""Solo dining""]}, {""offerings"": [""Alcohol"", ""Beer"", ""Cocktails"", ""Coffee"", ""Hard liquor"", ""Late-night food"", ""Quick bite"", ""Small plates"", ""Wine""]}, {""dining_options"": [""Brunch"", ""Lunch"", ""Dinner"", ""Catering"", ""Dessert"", ""Seating"", ""Table service""]}, {""amenities"": [""Restroom""]}, {""atmosphere"": [""Casual"", ""Cozy""]}, {""crowd"": [""Groups"", ""Tourists""]}, {""planning"": [""Accepts reservations""]}, {""payments"": [""Credit cards"", ""Debit cards"", ""NFC mobile payments""]}, {""children"": [""Good for kids""]}]","[{""accessibility"": [""Wheelchair accessible parking lot""]}]",https://serpapi.com/images/url/ATdqyXicDc5bUsIwFADQFYUGoQ-d8SPRTDMyUEGCLZ8NJSmE3NhEU7tHF-Bu9Kzg_P7oEJx_SBKjFzMFoEz36btBgg2dDTMJt0Q5j6RHPiEl7s1bPDdTi8cLWUX3HmjMD9SePW8kG1c7v31C-8Cjfkkp-Rp97SDXm2M9yYkJvjR24NtCpy1lh6anO7NBPB3613W0WVD3U0Hu9oIsTim_qWxZVs-CwfCtWSuuJbhTDesSfxyFmv8vlKkuefUYC4z0HGfoiiz8AY0vSB8,"""The duck dish, Hue beef noodles and seafood soup were all excellent."""
4924,2,Cát Tường Restaurant,ChIJMcxOPQChQTERFtoi9mmy9Qg,0x3141a1003d4ecc31:0x8f5b269f622da16,645618289768323606,https://serpapi.com/search.json?data_id=0x3141a1003d4ecc31%3A0x8f5b269f622da16&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x3141a1003d4ecc31%3A0x8f5b269f622da16&engine=google_maps_photos&hl=en,"{""latitude"": 16.4679873, ""longitude"": 107.5960198}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJMcxOPQChQTERFtoi9mmy9Qg,/g/11xmkgbz6d,5.0,1,,Chinese restaurant,"[""Chinese restaurant""]",chinese_restaurant,"[""chinese_restaurant""]","18 Nguyễn Thái Học, tổ 8, Huế, Thành phố Huế, Vietnam",Open · Closes 11 PM,Open · Closes 11 PM,"{""monday"": ""5\u202fAM\u201311\u202fPM"", ""tuesday"": ""5\u202fAM\u201311\u202fPM"", ""wednesday"": ""5\u202fAM\u201311\u202fPM"", ""thursday"": ""5\u202fAM\u201311\u202fPM"", ""friday"": ""5\u202fAM\u201311\u202fPM"", ""saturday"": ""5\u202fAM\u201311\u202fPM"", ""sunday"": ""5\u202fAM\u201311\u202fPM""}",+84 935 591 112,http://facebook.com/cattuongrestaurant,null,,"{""dine_in"": true, ""curbside_pickup"": true, ""no_contact_delivery"": true}",https://lh3.googleusercontent.com/p/AF1QipOuC_clgeOzlLhQ1xoLfZZyGqbCaYwdCceHE_R-=w108-h92-k-no,"[{""service_options"": [""No-contact delivery"", ""Delivery"", ""Takeout"", ""Dine-in""]}]",null,https://serpapi.com/images/url/r1HTc3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX-ocn5yTnupfleOTEWhYke-TFhVV6V6Y5JwYWZ7inJzq4RofpGtbbmhgoZthaaSbrZuXDwDMqyIV,
4925,3,フエ,ChIJhyhg-XahQTERkkF40TwFqFg,0x3141a176f9602887:0x58a8053cd1784192,6388361830195544466,https://serpapi.com/search.json?data_id=0x3141a176f9602887%3A0x58a8053cd1784192&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x3141a176f9602887%3A0x58a8053cd1784192&engine=google_maps_photos&hl=en,"{""latitude"": 16.4685566, ""longitude"": 107.5848046}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJhyhg-XahQTERkkF40TwFqFg,/g/11vlprb8k4,5.0,1,,Chinese restaurant,"[""Chinese restaurant""]",chinese_restaurant,"[""chinese_restaurant""]","Vietnam, Thành phố Huế, Huế, Phú Hòa, to, Trần Hưng Đạo",,,null,,,null,,"{""dine_in"": true, ""takeout"": true}",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EDsFqASHzZxNYAEhqE8gcQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=327.59457&pitch=0&thumbfov=100,"[{""service_options"": [""Takeout"", ""Dine-in""]}, {""popular_for"": [""Dinner""]}, {""offerings"": [""Alcohol"", ""Beer""]}, {""dining_options"": [""Dinner"", ""Catering"", ""Table service""]}, {""amenities"": [""Restroom""]}, {""atmosphere"": [""Casual"", ""Cozy""]}, {""crowd"": [""Groups"", ""Tourists""]}, {""planning"": [""Accepts reservations""]}, {""children"": [""Good for kids""]}]",null,https://serpapi.com/images/url/YleVrHicHc1RDoIgGADg2_AWoOXUNtbcsvXU1nqql4aI8G8oKCTWabpWt6l1ge_7vHUIzm8J8WGSMswgo4NFGr9yHCtrlZHcgcfC9mROSNCPvhk4mJ3jg4WW1Xt_GKvL8XVbTteq1mNdKHFGorkLA3IIzEs-CY1V_ImTbbFyHkVWUKRZmaInj2yd5jgrN1mOHAShGUX_pbMzSyj9AnfQOYs,
4926,2,Maison Trang,ChIJZcMRLOGhQTERVIGTFHwL8D0,0x3141a1e12c11c365:0x3df00b7c14938154,4463079858273222996,https://serpapi.com/search.json?data_id=0x3141a1e12c11c365%3A0x3df00b7c14938154&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x3141a1e12c11c365%3A0x3df00b7c14938154&engine=google_maps_photos&hl=en,"{""latitude"": 16.4700017, ""longitude"": 107.59678579999999}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJZcMRLOGhQTERVIGTFHwL8D0,/g/11flrlh73c,4.8,4013,"₫1–100,000",Vietnamese restaurant,"[""Vietnamese restaurant""]",vietnamese_restaurant,"[""vietnamese_restaurant""]","26 Võ Thị Sáu, Phú Hội, Huế, Thành phố Huế 530000, Vietnam",Open · Closes 10:30 PM,Open · Closes 10:30 PM,"{""monday"": ""8\u202fAM\u201310:30\u202fPM"", ""tuesday"": ""8\u202fAM\u201310:30\u202fPM"", ""wednesday"": ""8\u202fAM\u201310:30\u202fPM"", ""thursday"": ""8\u202fAM\u201310:30\u202fPM"", ""friday"": ""8\u202fAM\u201310:30\u202fPM"", ""saturday"": ""8\u202fAM\u201310:30\u202fPM"", ""sunday"": ""8\u202fAM\u201310:30\u202fPM""}",+84 935 813 636,https://www.facebook.com/MaisonTrangres/,null,,"{""dine_in"": true, ""takeout"": true, ""no_contact_delivery"": true}",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSykihd_jt0T7Mombkg_aWjyDb6M-YaKVDCL6pe7c6yP_q4hbzlP5xTvVt_Ui8s7Edumd6aIa9XEp7Db2qyn7xTk2hy_l0YTce4saxhdib6ecRTXL6fCj-iPTXZYes8qMtLsWvIP=w80-h106-k-no,"[{""service_options"": [""Outdoor seating"", ""No-contact delivery"", ""Delivery"", ""Takeout"", ""Dine-in""]}, {""highlights"": [""Great coffee"", ""Great dessert"", ""Great tea selection""]}, {""popular_for"": [""Lunch"", ""Dinner"", ""Solo dining""]}, {""offerings"": [""Alcohol"", ""Beer"", ""Coffee"", ""Late-night food"", ""Organic dishes"", ""Quick bite"", ""Salad bar"", ""Small plates"", ""Vegan options"", ""Vegetarian options""]}, {""dining_options"": [""Breakfast"", ""Brunch"", ""Lunch"", ""Dinner"", ""Catering"", ""Dessert"", ""Seating"", ""Table service""]}, {""amenities"": [""Restroom""]}, {""atmosphere"": [""Casual"", ""Cozy"", ""Trendy""]}, {""crowd"": [""College students"", ""Groups"", ""Tourists""]}, {""planning"": [""Accepts reservations""]}, {""payments"": [""Credit cards"", ""Debit cards"", ""NFC mobile payments""]}, {""children"": [""Good for kids""]}, {""parking"": [""Free parking lot"", ""Free street parking""]}]","[{""accessibility"": [""Wheelchair accessible entrance"", ""Wheelchair accessible parking lot"", ""Wheelchair accessible seating""]}]",https://serpapi.com/images/url/IIqPu3icBcFRboMgGADgE1FZ14FdsoelNkszTcxKW90LAWSCouh-2srut0PsNvu-v18TwgTPSeLM46r1vnX6Cvpb-THoMayUH5J2AqQAQfL6hq07xt6ahncBM1r4QfYtF5cuZpIUqBbv52yXk0lTRWLJ542RP658WtjtHPjJpkD3zXVoiDiIbbWfaCbXcxzpwvq1idzhmim9AbGYxkqi1QercvK165AtWfVZa0jnIuRwuR3Kl3uKkXnABPVo9P9xt0ZO,"""We're for lunch, it was delicous vietnameze food with a lovely service"""
4927,1,Chaleng Thai Food,ChIJ4dnwJvyhQTERajsSnosOBAs,0x3141a1fc26f0d9e1:0xb040e8b9e123b6a,793775427139287914,https://serpapi.com/search.json?data_id=0x3141a1fc26f0d9e1%3A0xb040e8b9e123b6a&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x3141a1fc26f0d9e1%3A0xb040e8b9e123b6a&engine=google_maps_photos&hl=en,"{""latitude"": 16.4718455, ""longitude"": 107.5962972}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ4dnwJvyhQTERajsSnosOBAs,/g/11ssnrr8kv,4.9,594,"₫1–100,000",Restaurant,"[""Restaurant""]",restaurant,"[""restaurant""]","27 Nguyễn Công Trứ, Phú Hội, Huế, Thành phố Huế 530000, Vietnam",Open · Closes 11 PM,Open · Closes 11 PM,"{""monday"": ""11\u202fAM\u201311\u202fPM"", ""tuesday"": ""11\u202fAM\u201311\u202fPM"", ""wednesday"": ""11\u202fAM\u201311\u202fPM"", ""thursday"": ""11\u202fAM\u201311\u202fPM"", ""friday"": ""11\u202fAM\u201311\u202fPM"", ""saturday"": ""11\u202fAM\u201311\u202fPM"", ""sunday"": ""11\u202fAM\u201311\u202fPM""}",+84 346 303 839,,null,,"{""dine_in"": true, ""curbside_pickup"": true, ""no_contact_delivery"": true}",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwTulL9kINTQPNILNBuetGkmgyCgjstVHuP6JSNj_mVYIDRgUij5_qscyCuM1OD0xvXMeQ0JJYNDxQd6TXc38oaKVU_qNwd2heTniO9lQwdIuGD70CYMWGJVrgMiByZxukto8hIrtCnGhCV=w199-h92-k-no,"[{""service_options"": [""No-contact delivery"", ""Delivery"", ""Takeout"", ""Dine-in""]}, {""popular_for"": [""Lunch"", ""Dinner"", ""Solo dining""]}, {""accessibility"": [""Wheelchair accessible restroom""]}, {""offerings"": [""Alcohol"", ""Beer"", ""Late-night food"", ""Quick bite"", ""Small plates""]}, {""dining_options"": [""Lunch"", ""Dinner"", ""Catering"", ""Dessert"", ""Table service""]}, {""amenities"": [""Restroom""]}, {""atmosphere"": [""Casual"", ""Cozy"", ""Trendy""]}, {""crowd"": [""Groups"", ""Tourists""]}, {""planning"": [""Accepts reservations""]}, {""payments"": [""Debit cards"", ""NFC mobile payments""]}, {""children"": [""Good for kids""]}, {""parking"": [""Free parking lot"", ""Free street parking"", ""Usually plenty of parking""]}]",null,https://serpapi.com/images/url/gzIxMHicBcHhcoIgAADgJyKtbi12tx8L7wiXlMtY7o_XIQcqQglMfcg9QG-z73v-Ke_v7i2KtFovpLVSi-DEwK3xwvgFt30k7w5wB1z0geNGn8ci6APsCC3yEyUHugvC466XM5Kt82wfTpv0TNuqZyVJvuSlaV-qh-MzCtnymMTT7zUTeZymJU2mvN4UV77e2tsnu1QPOtYrJQrTHKHOx5oEnLzGqMy-ccoGmTW7-WcKnbdbRQaPDFaIvY9LCIGCK9ABY_8BleRI0g,"""The best Thai food experience i’ve ever had outside of Thailand!"""
4928,6,XingHao Hotpot - 幸好自助回转小火锅,ChIJ1zBjagChQTERdA2YQ16MCK0,0x3141a1006a6330d7:0xad088c5e43980d74,12468369904864071028,https://serpapi.com/search.json?data_id=0x3141a1006a6330d7%3A0xad088c5e43980d74&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x3141a1006a6330d7%3A0xad088c5e43980d74&engine=google_maps_photos&hl=en,"{""latitude"": 16.460556, ""longitude"": 107.604424}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ1zBjagChQTERdA2YQ16MCK0,/g/11wy0nlft3,4.2,25,,Chinese restaurant,"[""Chinese restaurant""]",chinese_restaurant,"[""chinese_restaurant""]","103b Trường Chinh, An Đông, Huế, Thành phố Huế, Vietnam",Open · Closes 11:59 PM,Open · Closes 11:59 PM,"{""monday"": ""10\u202fAM\u201311:59\u202fPM"", ""tuesday"": ""10\u202fAM\u201311:59\u202fPM"", ""wednesday"": ""10\u202fAM\u201311:59\u202fPM"", ""thursday"": ""10\u202fAM\u201311:59\u202fPM"", ""friday"": ""10\u202fAM\u201311:59\u202fPM"", ""saturday"": ""10\u202fAM\u201311:59\u202fPM"", ""sunday"": ""10\u202fAM\u201311:59\u202fPM""}",+84 799 404 900,,null,,"{""dine_in"": true}",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx0gwBnNfROEnsLoL5F9v8s85DRCicNnGfo0n10xCtElX88Ecud2Z2-yjrDnPd5wq4Uk9l9XA3Gq2kBcruYDFn6Gy013A1FaM-TMwGPT_i18CcukEWDyqQ2hF1JP1-rlar6gkFIDQ=w122-h92-k-no,"[{""service_options"": [""Dine-in""]}, {""popular_for"": [""Dinner""]}, {""dining_options"": [""Lunch"", ""Dinner"", ""Catering"", ""Table service""]}, {""amenities"": [""Restroom""]}, {""atmosphere"": [""Casual"", ""Cozy""]}, {""crowd"": [""Groups""]}, {""planning"": [""Accepts reservations""]}, {""payments"": [""Credit cards"", ""NFC mobile payments""]}, {""children"": [""Good for kids""]}]",null,https://serpapi.com/images/url/T2w9Y3icBcHdbsIgGADQJ8ICXQ1d4kUthWzxpzqXud0sBivtwA8LdLVPuGfwbXbO46-N8Raek8S26Uw7p20zhMYrB7GBOFPumuhbQCqgkBQSd_btjvW4hM1lv60grNwqE_kvCyzj-7JTG5AXh4Hgexkre2SsUsOZflE0_XgO9Tkb-6d3k9v8WKSyp2ap_PDJBczlhElaEHFao8N6lPXhuyOsVIOpPvjU72gryGtNkLcnP9dGvPDdYiSUojanyCBw_-7bQ2U,
4929,7,Cozy Restaurant ( Huế ),ChIJYz7WmD6hQTERW48Lbux0frM,0x3141a13e98d63e63:0xb37e74ec6e0b8f5b,12933903738661998427,https://serpapi.com/search.json?data_id=0x3141a13e98d63e63%3A0xb37e74ec6e0b8f5b&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x3141a13e98d63e63%3A0xb37e74ec6e0b8f5b&engine=google_maps_photos&hl=en,"{""latitude"": 16.4640423, ""longitude"": 107.59349499999999}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJYz7WmD6hQTERW48Lbux0frM,/g/11f15msjjv,4.8,1830,"₫1–100,000",Vietnamese restaurant,"[""Vietnamese restaurant"", ""Restaurant""]",vietnamese_restaurant,"[""vietnamese_restaurant"", ""restaurant""]","6/27 Hà Nội, Phú Nhuận, Huế, Thành phố Huế, Vietnam",Open · Closes 10 PM,Open · Closes 10 PM,"{""monday"": ""12\u201310\u202fPM"", ""tuesday"": ""12\u201310\u202fPM"", ""wednesday"": ""12\u201310\u202fPM"", ""thursday"": ""12\u201310\u202fPM"", ""friday"": ""12\u201310\u202fPM"", ""saturday"": ""12\u201310\u202fPM"", ""sunday"": ""12\u201310\u202fPM""}",+84 934 878 884,https://www.facebook.com/VioletgaranHue?mibextid=uzlsIk,null,,"{""dine_in"": true, ""takeout"": true}",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyMM33hVq9U8Hnq3unB6JFxR60LBI3LR-ZFyXjLGfJqlTrZuoVmSs82_fZL6p-HwMi3L2rTRmkWbtTozfYC-GaZsv8Ah5nKMiTXIYd9bg8IMEs3OiRFSqTeO0w3naP-Sz3zF-8rBAAKKk8r=w80-h106-k-no,"[{""service_options"": [""Takeout"", ""Dine-in""]}, {""highlights"": [""Great coffee"", ""Great dessert"", ""Great tea selection""]}, {""popular_for"": [""Breakfast"", ""Lunch"", ""Dinner"", ""Solo dining""]}, {""offerings"": [""Alcohol"", ""Beer"", ""Cocktails"", ""Coffee"", ""Hard liquor"", ""Late-night food"", ""Quick bite"", ""Small plates"", ""Vegan options"", ""Vegetarian options"", ""Wine""]}, {""dining_options"": [""Breakfast"", ""Brunch"", ""Lunch"", ""Dinner"", ""Catering"", ""Dessert"", ""Seating"", ""Table service""]}, {""amenities"": [""Restroom""]}, {""atmosphere"": [""Casual"", ""Cozy"", ""Quiet"", ""Trendy""]}, {""crowd"": [""Groups"", ""Tourists""]}, {""planning"": [""Accepts reservations""]}, {""payments"": [""Cash-only""]}, {""children"": [""Good for kids"", ""High chairs"", ""Kids' menu""]}, {""parking"": [""Free parking lot"", ""Free street parking"", ""Usually plenty of parking""]}, {""pets"": [""Dogs allowed outside""]}]","[{""accessibility"": [""Wheelchair accessible parking lot""]}]",https://serpapi.com/images/url/ofMt2HicBcHdboIwGADQJ_qksxmpJrsAMxBpo4HOH26MIlAGtNCWMXnHPYBvs3Nef8La3qwdpxV4USlVtcVoCp0raQtpF7nqnKo3kBswjheiuk2fjGEsjsPqi2zlgEfpu7vgN3ER9SNME8iC5_mbhuVuaLnORnXsUkOW1zKjbg_bidWYLjVPuuZ0t1zN5WUD4S0zP8QT7zJmNT9Hl8fqXpGIfRq8r5MgHXixRxOWtwOkM54DINr3vDhuiP6YCALxhlxoQKp_tB1GHA,"""Amazing flavours of the Vietnamese cuisine, great service!"""
4930,8,Cherry Coffee & Restaurant,ChIJ5_PgZQChQTER93SWg1Y6elM,0x3141a10065e0f3e7:0x537a3a56839674f7,6015184395555992823,https://serpapi.com/search.json?data_id=0x3141a10065e0f3e7%3A0x537a3a56839674f7&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x3141a10065e0f3e7%3A0x537a3a56839674f7&engine=google_maps_photos&hl=en,"{""latitude"": 16.469362, ""longitude"": 107.5969092}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ5_PgZQChQTER93SWg1Y6elM,/g/11ldv47__1,4.9,393,"₫1–100,000",Asian restaurant,"[""Asian restaurant""]",asian_restaurant,"[""asian_restaurant""]","34 Kiệt 42 Nguyễn Công Trứ, Phú Hội, Huế, Thành phố Huế, Vietnam",,,null,+84 779 414 808,,null,,"{""dine_in"": true, ""takeout"": true}",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyPxhYGF2zGr5q7rqaP-V-pVZ-vTDs-yrX_V8rXqIUiwuJ_82dWMzOSVtqroLgGcIBJCt6R3MshW2iuS9mmMiSvfAj6f544uyEmrG0PLUev23HQw_1y6hB0T6j0IRRLNTaV_8BC7Q=w80-h106-k-no,"[{""service_options"": [""Takeout"", ""Dine-in""]}, {""highlights"": [""Great coffee""]}, {""offerings"": [""Coffee""]}, {""dining_options"": [""Breakfast"", ""Lunch"", ""Dinner"", ""Catering"", ""Table service""]}, {""amenities"": [""Restroom""]}, {""atmosphere"": [""Casual"", ""Cozy""]}, {""crowd"": [""Groups""]}, {""planning"": [""Accepts reservations""]}, {""parking"": [""Free street parking""]}]",null,https://serpapi.com/images/url/u4gmb3icBcFbjoIwFADQFV2poJUx8QN8dDCgCFgfP8QwSHGAQltA3KBrcDee83kzpWo517SCGaOM86xIW5mKhFcqrdQo4aWW1RISCVKzCMqLcPCf7EI2-ouIaTMTzc0HCjW9QhetJAziHFNTnBvnmPftNjb1v5P32odUNYK7GUkce7tUODA8yU563oY_ZenlYXe3Hvg-nUzaYV0Kgnz3mHa68Xvo4_GAmY0i_EBOELi76EZj017ODoveRMDGCMM_VPwLjylEug,"""... but delicious food, very reasonable price, fresh and quality food"""
